,melyseg,csucs_ellenallas,palast_ellenallas,porus_viznyomas,surlodasi_aranyszam
0,0.0,0.0,0.0,0.0,0.0
1,0.02,0.0,0.0,0.0,0.0
2,0.04,0.0,0.0,0.0,0.0
3,0.06,0.0,0.00029,0.0,0.0
4,0.08,0.0,0.00032,0.0,0.0
5,0.1,0.0,0.0003,0.0,0.0
6,0.12,0.0,0.00014,0.0,0.0
7,0.14,0.0,0.00039,0.0,0.0
8,0.16,0.0,0.00043,0.0,0.0
9,0.18,0.002,0.00132,0.0,0.0
10,0.2,0.024,0.0022,0.0,0.0
11,0.22,0.143,0.00352,0.0,3.978
12,0.24,0.432,0.00354,0.0,0.956
13,0.26,0.675,0.0088,0.0,1.392
14,0.28,0.969,0.01068,0.0,1.132
15,0.3,1.441,0.01195,0.0,0.875
16,0.32,2.755,0.02713,0.0,1.073
17,0.34,6.497,0.04159,0.0,0.728
18,0.36,10.569,0.08474,0.0,0.884
19,0.38,13.916,0.11562,0.0,0.89
20,0.4,15.278,0.13156,0.0,0.874
21,0.42,15.46,0.15829,0.0,1.032
22,0.44,15.799,0.1928,0.0,1.228
23,0.46,14.301,0.21832,0.0,1.461
24,0.48,12.736,0.2437,0.0,1.767
25,0.5,11.181,0.24907,0.0,2.141
26,0.52,9.715,0.26385,0.0,2.512
27,0.54,8.014,0.30057,0.0,3.559
28,0.56,6.813,0.30966,0.0,4.109
29,0.58,6.445,0.29857,0.0,4.582
30,0.6,6.643,0.30541,0.0,4.589
31,0.62,6.065,0.31831,0.0,4.942
32,0.64,6.436,0.34622,0.002,5.558
33,0.66,8.107,0.34182,0.002,4.485
34,0.68,9.257,0.31429,0.001,3.613
35,0.7,10.516,0.28086,0.0,2.826
36,0.72,10.079,0.24574,0.0,2.464
37,0.74,9.19,0.20812,0.0,2.169
38,0.76,9.045,0.17051,0.0,1.874
39,0.78,8.626,0.13594,0.0,1.563
40,0.8,8.397,0.124,0.0,1.471
41,0.82,8.628,0.10836,0.0,1.272
42,0.84,8.9,0.10372,0.0,1.217
43,0.86,9.173,0.08068,0.0,0.947
44,0.88,9.514,0.0749,0.0,0.804
45,0.9,9.803,0.05384,0.0,0.548
46,0.92,10.446,0.06622,0.0,0.653
47,0.94,10.076,0.07716,0.0,0.753
48,0.96,9.641,0.07645,0.0,0.775
49,0.98,9.582,0.07258,0.0,0.759
50,1.0,9.644,0.07901,0.0,0.79
