,melyseg,az_talajnem,az_jel,az_szin,al_talajtipus,al_allapot,al_szin
0,0.0,,,black,,,black
1,0.02,,,black,,,black
2,0.04,,,black,,,black
3,0.06,,,black,,,black
4,0.08,,,black,,,black
5,0.1,,,black,,,black
6,0.12,,,black,,,black
7,0.14,,,black,,,black
8,0.16,,,black,,,black
9,0.18,,,black,,,black
10,0.2,,,black,,,black
11,0.22,AGYAG,Cl,#ff9999,2.0,nagyon puha,#ffff80
12,0.24,"érzékeny, finom szemcsés TALAJ",S,#cc3a00,1.0,nagyon laza,#e0e4eb
13,0.26,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,1.0,nagyon laza,#e0e4eb
14,0.28,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,1.0,nagyon laza,#e0e4eb
15,0.3,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,1.0,nagyon laza,#e0e4eb
16,0.32,iszapos HOMOK - homokos ISZAP,siSa-saSi,#b4c270,1.0,nagyon laza,#e0e4eb
17,0.34,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,laza,#b3bbcc
18,0.36,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,közepesen tömör,#8593ad
19,0.38,HOMOK,Sa,#ffbf80,1.0,közepesen tömör,#8593ad
20,0.4,HOMOK,Sa,#ffbf80,1.0,tömör,#52607a
21,0.42,HOMOK,Sa,#ffbf80,1.0,tömör,#52607a
22,0.44,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,tömör,#52607a
23,0.46,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,közepesen tömör,#8593ad
24,0.48,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,közepesen tömör,#8593ad
25,0.5,iszapos HOMOK - homokos ISZAP,siSa-saSi,#b4c270,1.0,közepesen tömör,#8593ad
26,0.52,iszapos HOMOK - homokos ISZAP,siSa-saSi,#b4c270,2.0,kemény,#1f7a7a
27,0.54,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,2.0,kemény,#1f7a7a
28,0.56,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,kemény,#1f7a7a
29,0.58,iszapos AGYAG - AGYAG,siCl-Cl,#666666,2.0,kemény,#1f7a7a
30,0.6,iszapos AGYAG - AGYAG,siCl-Cl,#666666,2.0,kemény,#1f7a7a
31,0.62,iszapos AGYAG - AGYAG,siCl-Cl,#666666,2.0,kemény,#1f7a7a
32,0.64,"nagyon merev, finom szemcsés HOMOK (OCR)",Sa*,#666b2e,2.0,kemény,#1f7a7a
33,0.66,agyagos ISZAP - iszapos AGYAG,clSi-siCl,#999999,2.0,kemény,#1f7a7a
34,0.68,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,2.0,kemény,#1f7a7a
35,0.7,homokos ISZAP - agyagos ISZAP,saSi-clSi,#95a63f,2.0,kemény,#1f7a7a
36,0.72,iszapos HOMOK - homokos ISZAP,siSa-saSi,#b4c270,1.0,közepesen tömör,#8593ad
37,0.74,iszapos HOMOK - homokos ISZAP,siSa-saSi,#b4c270,1.0,közepesen tömör,#8593ad
38,0.76,iszapos HOMOK - homokos ISZAP,siSa-saSi,#b4c270,1.0,közepesen tömör,#8593ad
39,0.78,iszapos HOMOK - homokos ISZAP,siSa-saSi,#b4c270,1.0,közepesen tömör,#8593ad
40,0.8,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,közepesen tömör,#8593ad
41,0.82,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,közepesen tömör,#8593ad
42,0.84,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,közepesen tömör,#8593ad
43,0.86,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,közepesen tömör,#8593ad
44,0.88,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,közepesen tömör,#8593ad
45,0.9,HOMOK,Sa,#ffbf80,1.0,közepesen tömör,#8593ad
46,0.92,HOMOK,Sa,#ffbf80,1.0,közepesen tömör,#8593ad
47,0.94,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,közepesen tömör,#8593ad
48,0.96,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,közepesen tömör,#8593ad
49,0.98,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,közepesen tömör,#8593ad
50,1.0,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,közepesen tömör,#8593ad
51,1.02,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,közepesen tömör,#8593ad
52,1.04,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,közepesen tömör,#8593ad
53,1.06,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,közepesen tömör,#8593ad
54,1.08,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,laza,#b3bbcc
55,1.1,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,laza,#b3bbcc
56,1.12,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,laza,#b3bbcc
57,1.14,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,laza,#b3bbcc
58,1.16,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,laza,#b3bbcc
59,1.18,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,laza,#b3bbcc
60,1.2,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,laza,#b3bbcc
61,1.22,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,közepesen tömör,#8593ad
62,1.24,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,közepesen tömör,#8593ad
63,1.26,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,közepesen tömör,#8593ad
64,1.28,HOMOK,Sa,#ffbf80,1.0,közepesen tömör,#8593ad
65,1.3,HOMOK,Sa,#ffbf80,1.0,közepesen tömör,#8593ad
66,1.32,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,közepesen tömör,#8593ad
67,1.34,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,közepesen tömör,#8593ad
68,1.36,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,közepesen tömör,#8593ad
69,1.38,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,közepesen tömör,#8593ad
70,1.4,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,közepesen tömör,#8593ad
71,1.42,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,közepesen tömör,#8593ad
72,1.44,HOMOK - iszapos HOMOK,Sa-siSa,#e0a552,1.0,közepesen tömör,#8593ad
73,1.46,HOMOK,Sa,#ffbf80,1.0,közepesen tömör,#8593ad
74,1.48,HOMOK,Sa,#ffbf80,1.0,tömör,#52607a
75,1.5,HOMOK,Sa,#ffbf80,1.0,tömör,#52607a
76,1.52,HOMOK,Sa,#ffbf80,1.0,tömör,#52607a
77,1.54,HOMOK,Sa,#ffbf80,1.0,tömör,#52607a
78,1.56,HOMOK,Sa,#ffbf80,1.0,tömör,#52607a
79,1.58,HOMOK,Sa,#ffbf80,1.0,tömör,#52607a
80,1.6,HOMOK,Sa,#ffbf80,1.0,tömör,#52607a
81,1.62,HOMOK,Sa,#ffbf80,1.0,tömör,#52607a
82,1.64,HOMOK,Sa,#ffbf80,1.0,tömör,#52607a
83,1.66,HOMOK,Sa,#ffbf80,1.0,tömör,#52607a
84,1.68,HOMOK,Sa,#ffbf80,1.0,tömör,#52607a
85,1.7,HOMOK,Sa,#ffbf80,1.0,tömör,#52607a
86,1.72,HOMOK,Sa,#ffbf80,1.0,tömör,#52607a
87,1.74,HOMOK,Sa,#ffbf80,1.0,tömör,#52607a
88,1.76,HOMOK,Sa,#ffbf80,1.0,tömör,#52607a
89,1.78,HOMOK,Sa,#ffbf80,1.0,tömör,#52607a
90,1.8,HOMOK,Sa,#ffbf80,1.0,tömör,#52607a
91,1.82,HOMOK,Sa,#ffbf80,1.0,tömör,#52607a
92,1.84,HOMOK,Sa,#ffbf80,1.0,tömör,#52607a
93,1.86,HOMOK,Sa,#ffbf80,1.0,tömör,#52607a
94,1.88,HOMOK,Sa,#ffbf80,1.0,tömör,#52607a
95,1.9,HOMOK,Sa,#ffbf80,1.0,nagyon tömör,#141d52
96,1.92,HOMOK,Sa,#ffbf80,1.0,nagyon tömör,#141d52
97,1.94,kavicsos HOMOK - HOMOK,grSa-Sa,#f2f28c,1.0,nagyon tömör,#141d52
98,1.96,kavicsos HOMOK - HOMOK,grSa-Sa,#f2f28c,1.0,nagyon tömör,#141d52
99,1.98,kavicsos HOMOK - HOMOK,grSa-Sa,#f2f28c,1.0,nagyon tömör,#141d52
100,2.0,kavicsos HOMOK - HOMOK,grSa-Sa,#f2f28c,1.0,nagyon tömör,#141d52
101,2.02,kavicsos HOMOK - HOMOK,grSa-Sa,#f2f28c,1.0,nagyon tömör,#141d52
102,2.04,kavicsos HOMOK - HOMOK,grSa-Sa,#f2f28c,1.0,nagyon tömör,#141d52
103,2.06,kavicsos HOMOK - HOMOK,grSa-Sa,#f2f28c,1.0,nagyon tömör,#141d52
104,2.08,kavicsos HOMOK - HOMOK,grSa-Sa,#f2f28c,1.0,nagyon tömör,#141d52
105,2.1,kavicsos HOMOK - HOMOK,grSa-Sa,#f2f28c,1.0,nagyon tömör,#141d52
106,2.12,kavicsos HOMOK - HOMOK,grSa-Sa,#f2f28c,1.0,nagyon tömör,#141d52
107,2.14,kavicsos HOMOK - HOMOK,grSa-Sa,#f2f28c,1.0,nagyon tömör,#141d52
